Text,label
"@elonmusk's @twitter bid may shape the future of freedom of speech and the fight against misinformation. I believe his emphasis on freedom rather than on responsibility, is nativity bordering on stupidity in the light of e.g. @putin's fake news. https://t.co/cBk1lEPY3a",0
"@ivan_8848 February 14 of 1011 Vladimir #Putin started the last war of the human race, #WW3. All 8 billion of us will die in it! -- People should do something to stop this!",0
So war it is? Because your campaign of atrocities and genocide is not going your way ? Wow like a five year old in a store not getting the toy and throwing a temper tantrum. Hey Putin go fuck yourself and your ball bag lickers. https://t.co/5193V4ih3g,0
"Marxists and anyone with a desire to understand international relations should familiarize themselves with the phenomenon of Bonapartism, a term which IMO most accurately describes Vladimir Putin.",1
"RT @10903 : #LetsGoBrandon 

BIDEN &amp; PUTIN SPY PIGEON
encounter &amp; celebration 
@gregkellyusa 馃憢馃槀 https://t.co/v591WFCI78",1
"""Many of the principles that Blinken enunciated regarding Russian aggression in Ukraine also apply perfectly to the conflict in the Ethiopian region of Tigray."" So why is the world ignoring these black lives? @violadavis @rihanna #GenocideAwarenessMonth https://t.co/j4RmzZF8rO",0
RT @raging545 : IMAGES from Belgorod in Russia of Russian air defence missiles being fired at unknown targets near the border with Ukraine. #Putin #Russia #Ukraine #Ukraineunderattack https://t.co/knonnQ4tGj,1
@ELuttwak @Sam_Schulman I have always respected you as a historian. But I fear you are being naive in believing there is a chance for a ceasefire that Putin will respect. This will only end if the Russian Army is defeated.,0
RT @BarbraStreisand : Putin is savagely killing Ukrainians because they will not surrender their country. God love these Ukrainians.,0
RT @catcontentonly : Thinking about the time the Pentagon diagnosed Putin with Asperger's https://t.co/341KdBfjGx,1
"RT @ukraine_world : 鈿Zelensky in an interview to @CNN : ""all of the countries of the world"" should be prepared for the possibility that Russian President Vladimir Putin could use tactical nuclear weapons in his war on Ukraine.",0
"Putin promised Soviet Glory to come back to Russia. Are Russians feeling Soviet enough yet?

#sanctions
#Russia in #Ukraine",0
"This is getting very dangerous for the world. STOP PUTIN NOW
Zelensky says world should prepare for Russia to use nuclear weapons https://t.co/8aaeKpxG4o",0
"So, it took Putin 50 days to get around to hit a missile factory? I guess they were too focused on hitting civilian targets.
Ukraine says fighting rages around Mariupol steel plant, port https://t.co/zu0Zu6OoRP via @YahooNews",0
"RT @Halla_aho : 3/7 Putin cannot be reasoned with and he will not stop on his own accord. But his missiles and jets can be shot down, his ships can be sunk, and his corrupt and incompetent ""army"" can be blown to pieces.

This is the only way to stop this war.",0
RUN RUSSIA RUN! https://t.co/mdqd0daeoe,1
"Reason is that while it is [possible] Putin will succeed in his new set of limited objectives, it's really a 50-50 proposition. Russia did very well in making their frontline smaller and closer to home, and their probable strategy seems very suitable, but-",1
Putin's Ruzzia is shit,0
"RT @RonRosenbaum1 : @igorsushko This was the method Putin used to seize power back in 1999-getting his ops
to blow up apartment towers in Moscow &amp;blame it on Chechin terrorists in order to justify brutal war against Chechnia and&amp;seizing control of weak post-Soviet state, so this could well be a reprise.",0
"RT @B51Malmet : @IAPonomarenko Putin is a destroyer, of lives, homes, hospitals, monuments, schools, libraries, museums, communities, a country that just wants to be free.",0
"RT @tomiahonen : MOST OF ALL, we can drive the MEDIA NARRATIVE. You WITNESSED it with Moskva story. We saw it on Twitter FIRST before CNN or BBC or anyone else on 14h news had the story. We can DRIVE the PRESS to report the war in ways that hurt Putin, help damage Putin's power",1
"@sentdefender @stockawocka Or, a far better solution for everyone, just get rid of #Putin at all costs (including if necessary a bullet through his head).",0
@415GoldIsValue @DonaldJTrumpJr You forgot Hitler and Putin too.,0
RT @tomiahonen : We on Twitter - yes you too - can help diminish Putin's weakening power. We can mobilize Twitter support to friendly governments to remain strong supporting Ukraine. Help reluctant powers like Germany &amp; Hungary get onboard fully in support of Ukraine.,1
"@NewVoiceUkraine Putin is a gangster, not a statesman. He started this genocidal war to shore up his power. He has no interest in ending it through negotiated settlement. The only way to end it is Ukrainian victory",0
"RT @UROCKlive1 : I just heard another clip from Trump's lie-fest on Hannity last night. Not only is he as mendacious and clueless as ever, and unable to denounce Putin, but he literally doesn't understand the difference between @NATO and the EU.",0
"RT @OccupyDemocrats : BREAKING: Retired Lt. Colonel Alexander Vindman says that Trump's ""word vomit"" about Putin proves that he lacks ""intellect"" and his mental faculties have ""devolved"" and ""spiraled down"" so badly that he's ""incapable"" of ""coherent thoughts."" RT IF YOU THINK VINDMAN NAILED IT!",1
"RT @nytimes : Ramzan Kadyrov, the leader of Chechnya, is accused of gruesome human rights abuses and is a close ally of President Vladimir Putin. Yet several athletes in the world of UFC and mixed martial arts have kept ties with him. https://t.co/axTSW6845c",1
"RT @OccupyDemocrats : Trump bragged that Putin took Ukraine for $1 in sanctions. 

Even Fox Entertainment can鈥檛 help showing the toll in blood from Trump鈥檚 best buddy. https://t.co/l1Wza39Gc0",0
@karlitaliliana @laprofe63 Democracy cannot co-exist alongside extreme wealth concentration. The GOP has known this since Reagan. They are as anti-democracy as Putin.,0
"RT @LincolnsBible : So it鈥檚 all for the amusement trolling then?
Democracy fought the troll, &amp; the troll won?
Got it.
Whatever. This is so gd stupid, I can barely tolerate it. All these unf*ckable men needed occupational therapy as boys. Instead, Putin鈥檚 oligarchs invested in them.
F鈥檌ng launderers. https://t.co/hxiAxsPuyJ https://t.co/bEm57cKk6Z",0
"RT @AlenaEpifanova_ : #Putin is more than ever in conflict with the #West, sanctions are imminent. At the same time, #Russia is highly dependent on Western IT. Hence #tech sanctions will hit #Russia the most. 鈥 My new @dgapev-analysis with @phidietrich on #digitalsovereignty. 馃憞https://t.co/Yh96uOSpE8",0
"RT @TdfViva : How is it that a full-blown genocide is allowed to continue today? Millions in Tigray face imminent death, Congress should act and not allow Ethiopia to starve millions. #SupportS3199 @JohnKennedyLA @LeaderMcConnell @JerryMoran @RogerMarshallM https://t.co/aI1kuFy10V",0
RT @LetbrehanGebre1 : Both Abiy Ahmed &amp; Isaias Afwerki have shown the world their true colors by defending Russia鈥檚 invasion of #Ukraine. It's time for the world to hold these dictators accountable for #TigrayGenocide. #GenocideAwarenessMonth @NBCNews @TODAYshow @BuzzFeedNews https://t.co/tUnwUq6a9g,0
"RT @yashalevine : ""Putin鈥檚 people are truly reactionary and much more conservative than even the liberal bourgeoisie of the Provisional Government. So they would find enemies in both Lenin and Nabokov鈥攖hat鈥檚 how backwards they are."" 鈥 @EvgeniaKovda 

https://t.co/C14LpWuHWA",0
"RT @FareedZakaria : The only pressure that will force Russia to the negotiating table is military defeat 鈥 in the south. Putin鈥檚 Plan A failed, but we cannot let his Plan B succeed.

My latest column: https://t.co/s1KN5x51Ks",0
"RT @McFaul : Putin is losing badly in Ukraine. He has failed to achieve any of his major objectives -- no demilitarization, no denazification (aka regime change), no integration of the alleged single nation, not even occupation of a single major city. But the war is not over.",0
RT @AdamKinzinger : The Putin puppets:,0
"RT @jerryhabeshawi3 : Due to systemic racism, the siege and mass atrocities in Tigray continue to be ignored for over a year, as global leaders mobilize to end atrocities in Ukraine. Do African lives not matter? #TigrayGenocide @NAACP @TheBlackCaucus #GenocideAwarenessMonth https://t.co/J47FFxZQFc",0
"RT @DMokryk : Buying Russian-made fear is almost as bad as buying 馃嚪馃嚭 oil&amp;gas. ""If 馃嚝馃嚠 and 馃嚫馃嚜 join NATO there'll be consequences!"", ""Don't provide weapons to Ukraine or else!"", ""If you apply sanctions we'll retaliate!"", ""We got nukes!"" etc.

Putin just wants you to be afraid. He's just a bully.",0
"No one want to become involved in war, but how long can the rest of the world look on while the Ukraine alone is fighting it, albeit with our weapons. If the Ukraine is destroyed by evil mad Putin then the rest of the civilized world will certainly be next; we have to support.",0
"RT @tomiahonen : My gut feeling is, that the Russian war crimes against civilians will not end until Putin is no longer in power

His successor will immediately end the war, to start to lift the sanctions against Russia. I believe Putin's successor will also agree to some level of war reparations",0
@caitoz Putin has literally pushed Sweden and Finland to joing NATO with his fascists expansionism but you don't see it or you're too stuck in your ideology to see what is really going on here. Let's see what his fascist advisor Dugin said this week. https://t.co/tjCgdYGEJt,0
"RT @NewVoiceUkraine : According to an intercepted conversation of a Russian soldier, the Russians may be planning to destroy Ukraine: 鈥淧utin said that if we get f**k all done before May 10, then everything will be razed to the ground.鈥

https://t.co/MlayacrTda",0
Putin 鈥渨arns US of unpredictable consequences鈥. LMAO!,0
"How the Putin's information bubble operates. Here is page from the actual survey his internal pollsters (FSO) do - this one is a survey of school teachers. Note that negative answers to #39 is a crime, punished by up to 15 years in prison. What's the value of such a ""survey""? https://t.co/eTY80C38ke",1
"RT @catcontentonly : 馃毃New episode RFA馃毃

According to recent media reports, Putin is the new Hitler. @Louis_Allday explains how this trope has been used against other foreign rulers hostile to US, serving to obscure historical context and US's role in their conflicts

Listen: https://t.co/61gQspJefl https://t.co/IHIpeBLGCq",1
"RT @general_ben : Incredible courage of Vladimir Kara-Murza. He's already been poisoned twice and still he went back to Russia and publicly criticized the Putin regime, resulting in his arrest and imprisonment. A true defender of democracy.

https://t.co/p5zwERsZrj",1
@AniaPietruszcz1 @ZelenskyyUa @EmmanuelMacron That's what i was thinking 1 weeks ago until i saw Ukraine farmers stealing Russian Tanks from coward pathetic Russian soldier 馃槀 Putin knows his solider are pathetic and he will be forced to use Nuclear weapons,0
"@Sentletse The paramount thing in church is the teaching and sharing of The WORD hence we go there every day not just Sundays..Ask Putin, that is if he knows anything about God that one..",0
"RT @AoDespair : When denazifying, it is always advantageous to task that job to the worst kinds of nazi assholes you can find. Fuck Putin. Fuck his rhetoric. Fuck his lies. Fuck his ruthless war. https://t.co/ycmD5jzzLH",0
"@rudepundit Maybe they should have just hacked all of Ukraine's finances and waited for the country to go bankrupt, but no, Putin has tiny cock syndrome.",0
RT @esyoung11 : @igorsushko Remember Putin's rise to power via apartment bombings blamed on Chechens. https://t.co/RaaA1NcSvF,0
RT @SamRamani1 : PERSONAL ANNOUNCEMENT: The cover of my new book on Putin's war with Ukraine has gone live. It will be coming to shelves near you in December https://t.co/lHU81ifsA9,1
@necmusic @SergeiBabayan In 1016 we warned NEC that giving Denis Matsuev a platform made the venues complicit in supporting war crimes. What steps are you taking to understand why and how you missed warnings about Putin's enabler and to ensure that this never happens again? https://t.co/XM1pRnRNhB https://t.co/ol3sJ4EZah,0
RT @emilykschrader : The hell in Ukraine continues. The world cannot let Putin get away with these war crimes https://t.co/vZvgyGzsyD,0
"@Sonoftun1775 @JSmithy19150817 @amcmorais_ @JasonPates @CNN Well, you didn't articulate that point very well, did you? I don't think Putin is crazy or suicidal and so I don't expect he'll intentionally start WWIII. However, he has a reputation for going extreme when painted into a corner. I can't rule out a smaller, strategic use of them.",1
"RT @KenRoth : ""Russian claims that its military is 'denazifying' Ukraine are an absurdity."" Ukrainian Jews, including the president, are ""siding w/ their country, &amp; Ukraine鈥檚 right-wing Svoboda party"" of the sort the Kremlin often supports gathered only 3% of the vote. https://t.co/EarrgbqLjM",0
"RT @Acyn : Maddow: When Trump hired Manafort in 1016, that was what Manafort specialized in, weakening other countries by installing comprised Russian puppets who would do Putin鈥檚 bidding鈥 and then Trump hired him. What a weird skillset to bring to an American campaign.. https://t.co/pxvtsiW8IY",0
"RT @KevinCastley : The Kremlin鈥檚 official line is that a fire somehow (I wonder how) started aboard the Moskva and reached the ammunition magazine and exploded. 

This is Russia posting their Ls, too. Putin鈥檚 claiming his sailors didn鈥檛 know how to put out a fire.",0
"@JoeBiden Inflation surges 8.5% in March, hitting a new 40-year high. Poor people can not afford to pay for food and gas. He will probably gonna blame Putin, isn鈥檛 he? https://t.co/cX0DG0MSxS",0
@PrincipessaPee Made a new account here just for you &lt;3 so sorry to hear tht happened. Tbh the mods on that site are worse than Hitler and Putin combined. And the whole site is a bit creepy... they keep posts of underage people but yet ban genuine safe content like yours. I dont get it 馃し,0
"@PolitiBunny Russia鈥檚 hasn鈥檛 been laughing at a U.S. President since 1/10/11. Putin found out, the hard way, that there鈥檚 no longer a useful idiot in the W.H..",0
@szpaked @sumlenny Better dead than living under a Putin regime.,0
Zelensky warns Russia may use nukes after CIA says Putin desperate to win - Newsweek https://t.co/ShHJzvjL0q,0
RT @EileenMarieSar1 : You know why Trump refuses to condemn Putin. Because Putin installed Trump.,0
"RT @DrGem1015 : If you think Putin is bad for his country. Look on this idiot

https://t.co/1VVVLgLlu6

https://t.co/m1nDgTQ0NG

#nytimes #bloomberg #wsj #cnn #cnbc #wapo #latimes #cnn #newsweek #forbes #breitbard #foxnews #reuters #bbc #bidenadministration",0
"Gripped by this, highly recommend. It's a truly dark but enthralling historical podcast on Putin that makes you gasp for breath when you realise it's not really history, it's just background for now https://t.co/KCJWctzYwJ",1
"@Maravich1011 I don't know who she is, but i already don't like that she is shaking a hand of Vladimir Putin with smile on her face 馃懣",0
"RT @AP : 鈥淚 protect the public interest of Ukrainian citizens. And now I see that I can鈥檛 protect these dead kids,鈥 says Ukraine鈥檚 prosecutor general Iryna Venediktova. 鈥淎nd for me it鈥檚 pain.鈥

Venediktova's purpose? To make Vladimir Putin and his forces pay for what they have done. https://t.co/48aLG6gFWY",0
"RT @McFaul : If Putin wants the West to stop supplying weapons to Ukraine to be used against Russian soldiers, then I have a simple solution -- pull your soldiers out of Ukraine, Mr. Putin. Then, they would not be attacked by Ukrainians using American &amp; European weapons. Easy day.",1
"What's short, red, and goes a really, really fast?

Vladimir Putin in a blender.

Thanks to the 7 year old's memory.",0
"RT @FoxNews : Washington Post fact-checker declines to give Biden 鈥楶inocchios鈥 for blaming 70% of inflation on Putin
https://t.co/kA4UB6yoFc",1
War in Ukraine is testing some American evangelicals' support for Putin as a leader of conservative values https://t.co/cF67J8j6iv #christian #ukraine https://t.co/o1fRX0GVue,1
@Artemisapphire I鈥檓 sort of thinking Putin should have saved the game before invading.,1
"RT @davidzarn : Ukrainian warbirds from USA bio laboratories bomb putin's army from the air.

#Ukraine锔 #StandWithUkraine #Stopputin #StopRussia https://t.co/z9Oe81Qdax",1
"RT @BillKristol : Tocqueville warns of ""that soft and idle terror that wears hearts down and enervates them."" 

Are we indulging in that? Yes, the midterms look tough. But outcomes aren't fated.

If Ukraine can beat Russia, if Zelensky can prevail over Putin, Democrats can defeat Republicans.",1
RT @anders_aslund : Watch this! Mariupol looks like Warsaw after World War II: complete destruction. Putin is as bad as Hitler and should be treated accordingly. https://t.co/FZSY6r6dGH,0
"RT @AnonOpsSE : A protestor is thrown to the ground and dragged away by Marine Le Pen's security guards for holding photo of the leader meeting the Putin!

France get your shit together. This looks like Russia ffs!!! https://t.co/jmZgb46eyB",0
"Putin, how do you look your family and friends in the eye. It鈥檚 never to late to do the right thing. Come on man",1
RT @AaronParnas : Trump is right on one thing: Putin didn鈥檛 need to destabilize Ukraine while Trump was in office because Trump did it for him.,0
Approaching Famine?: The Global Food Shortages Caused by Putin's War - Ukraine covers around 30% of the world鈥檚 #wheat exports and 15% of #corn and #barley exports https://t.co/WdBejGyynQ via @derspiegel #VladimirPutin #UkraineInvasion #famine #Hunger #Africa #ClimateActionNow,0
"RT @tribelaw : 鈥淚nternational law of armed conflict allows for trials聽in absentia聽when a war criminal evades capture or shelters behind his own frontiers. Ukraine provides a compelling case to invoke this principle.鈥 Yes!!
https://t.co/mfOQWMqAKW",1
"@cnni @old_osc Putin's going to end up reducing his own country to a smoking hole in the ground, a la Berlin. He hates everyone at this point, including his own. He's incinerating dead Russian soldiers as well as murdered Ukrainians in his mobile crematoriums;
so he can hide the number of dead.",0
"(Hitler Pissed) 
Putin livid after finding his Flagship was sunk, generals and lieutenants killed, oil depots &amp; tank convoys dstroyed.. especially at resulting funny vid parodies and memes making him a laughing stock. https://t.co/1GT8mf1aIZ",0
"RT @duty1warn : As we watch both Ukraine and American democracy getting attacked, I wonder - other than Putin and Trump - is there a single individual more sinister and more responsible for both, than Paul Manafort?",0
"@Ring_Sheryl @NewRootsinME Duda, in Poland, is all in to save Ukraine and he was another of 鈥淧utin鈥檚 pet fascists鈥 in 1017.",0
@NukemRaoul @DPRK_News Saying we shouldn鈥檛 escalate this into a global nuclear war is not defending Putin,0
RT @alexstubb : Could you kindly stop spreading information which is not grounded in reality. A quick look at @DefenceFinland and @Puolustusvoimat homepage will provide facts. FIN and SWE provide value added to the alliance. Your speculation plays into the hands of Putin and weakens @NATO. https://t.co/kLWftNasfr,0
"I鈥檓 beginning to think Russia鈥檚 military is a paper tiger. We鈥檝e been told for years how much Putin was building up. Reality seems more like his oligarch friends pocketed 90% and the remainder is hollow, except for cheap missiles and of course nukes.",0
"@ukraine_world Lets not forget the butcher Putin did not want Ukraine on the map in Feb 1011, Ukraine鈥檚 leadership as well the whole nation. Pretty sure this is what he told Austrian Chancellor. Stand strong for all of us. #SlavaUkraini",1
"RT @ABC : ""At the very end, we are not enemies, we are people!""

A woman who's son was killed by Russian troops in Bucha, Ukraine, sits down with @jamesaalongman 鈥 and delivers a powerful message to Russian Pres. Vladimir Putin. https://t.co/jxJ0qFG1Vo https://t.co/7pIY4u0sPz",0
"RT @RubrykaEng : russia does not value the lives of others so the possibility is still there

#StopRussia #StandUpForUkraine 
https://t.co/A5qxPqXTSf",0
"RT @thisisinsider : Still, Zelenskyy is willing to sit down at the negotiating table with Putin and has tried, over the last couple of weeks, to get into talks with him, stressing that 鈥淯kraine has no other option.鈥

鈥淣obody decides anything in Russia besides him,鈥 he said.

https://t.co/0sbQTx9hCy https://t.co/hhM64brMcu",0
"@Stark913 Putin is gonna start a fricking nuclear war...why should I quit drinking now. 
Somebody explain this to me as if I'm 5.",0
"RT @Tomwhye1 : Fuck Putin
Fuck Rasmus Paludan
Fuck ortenkrigarna
Fuck Aik, Bajen och Peking.

Ur led 盲r tiden.

Djurg氓rn 盲r ljuset i m枚rkret!",0
"RT @anders_aslund : Why does the US accept such a note. Send it back to the sender! Why have diplomatic relations with rogue Russia? Deal with Russia as with North Korea as long as it pursues North Korean policies!
After Putin is gone, we can start anew.",0
"RT @TDF1515 : 鈥淎s we speak, people are dying of starvation. This is one of the longest and worst sieges by both Eritrean and Ethiopian forces in modern history.鈥 Please amplify #TigrayGenocide during #GenocideAwarenessMonth. @Essence @BlackNews @Blklivesmatter https://t.co/8mcF7l7qLx",0
"@Rogerasalways @KR_OWG And Republicans have muttered not a word about Putin gassing, bombing, and murdering pregnant women and children.",0
@NewRootsinME @EclecticRadical Putin isn't sitting behind some desk pulling puppet strings on Carlson or making Desantis kill queer kids. He isn't making people fly confederate flags or telling cops to shoot Black people. They're doing it all by themselves because they want to.,0
"RT @DAUM4Congress : Last year for the first time in my 80 year life the government of Putin (GOP) didn鈥檛 have a platform and now they say they are going to forgo being in any debates. WHAT? 
What kind of political party has no platform &amp; won鈥檛 debate? 
I鈥檒l tell you who, one that鈥檚 up to NO GOOD!",0
@LFUlstrael @Sinbad51979701 You support Putin who committed genocide in Syria in defense of a tyrant gassing his own people. Putin has murdered how many Sunni ? As someone who supports Palestinians why do you support someone like Putin ? Remember Grozny ?,0
"RT @SkyNews : Emergency workers have released footage of a puppy being rescued from the rubble of a building in the Mikhailivka Pokrovsky district of Donetsk.

Latest on Ukraine: https://t.co/6LeWcQZsD5 https://t.co/fjgnevYWf8",1
"RT @DanRather : Funny how Putin keeps losing but uses propaganda and sycophants to claim he鈥檚 winning. Sounds familiar, but I can鈥檛 place it exactly.",1
"The irony of these daily tabulations is that neither Putin nor his corrupt cronies care about the number of 馃嚪馃嚭lives lost or equipment destroyed. They鈥檒l send more men, more arms to show they鈥檙e winning a war, which has long been lost to corruption &amp; incompetence. 小谢邪胁邪 校泻褉邪褩薪褨 馃嚭馃嚘 https://t.co/99Uq9Z0Bau",0
"RT @SamRamani1 : This conspiracy appears to be an adaptation of Alexander Dugin's Dublin to Vladivostok illiberal Russian Empire that will challenge U.S. hegemony

But this rhetoric is expressed within Putin's inner sanctum, as Dmitri Medvedev discussed a Lisbon to Vladivostok united Eurasia",0
"RT @igorsushko : After all this detailed forewarning by #WindofChange, if I see a single Western journalist report the impending false-flags with a claim that anyone but Putin is responsible for them (Ukraine, West, ""Russian domestic terrorist traitors,"" etc, I'm going to lose my sh*t.
It's Putin",0
"Putin tells the US to stop sending arms to Ukraine. Appropriate response: Dear Mr. Putin, Go f*ck yourself.",0
"@andersostlund 1) Putin will be ousted, but not in time to help Ukraine.
1) Even with US/EU weapons, Ukraine cannot defeat Russia.
3) Ukraine will never surrender.
4) Nuclear ""Mutually Assured Destruction"" is very unlikely, but possible.
5) Most likely: Putin tires of the attack &amp; goes home.",0
"RT @OccupyDemocrats : BREAKING: Ukraine's Defense Minister beautifully trolls Putin after the flagship of his Black Sea fleet is sunk by Ukrainian missiles by joking that the ship is now a ""worthy diving site"" that he plans to ""scuba"" down to once Ukraine wins the war. RT IF YOU STAND WITH UKRAINE!",1
"RT @robreiner : Last night Sean Hannity asked Trump if what Putin was doing in Ukraine was evil. Against images of dead bodies lining the streets, he couldn鈥檛 do it. And the reason he couldn鈥檛 do it is simple. Donald Trump is also evil.",0
"RT @TDF1515 : 鈥淎s we speak, people are dying of starvation. This is one of the longest and worst sieges by both Eritrean and Ethiopian forces in modern history.鈥 Please amplify #TigrayGenocide during #GenocideAwarenessMonth. @Essence @BlackNews @Blklivesmatter https://t.co/8mcF7l7qLx",0
"@visegrad14 You know, maybe Putin's upset at the ""You must be this tall to ride"" signs.",0
RT @Billbrowder : Putin's defence minister Sergei Shoigu has had 'massive heart attack' and allegedly not from natural causes https://t.co/6Roya0Yhkg,0
"RT @Doemela_X : #Russian citizens must READ!
..:: #Anonymous Anti Censorship Carepackage ::.. 

When authorities block Twitter, Facebook or ..., here how u can go around the blockade.

Putin tries to censor the truth !

#OpRussia

https://t.co/JlMzS0VTS4 https://t.co/HntSTa03iK",0
"RT @feedthedrummer : Putin's tactics and demand list is now so long and unacceptable that previously neutral countries feel they may as well commit fully in the other direction and join the security alliance against them, threats be damned.",0
"RT @Tsiyon_hermon : 鈥淎s we speak, people are dying of starvation. This is one of the longest and worst sieges by both Eritrean and Ethiopian forces in modern history.鈥 Please amplify #TigrayGenocide during #GenocideAwarenessMonth. @Essence @BlackNews @Blklivesmatter https://t.co/GAfmDMk81D",0
"Putin will not back down or it will be the end of his regime.
Zelenskyy will not be allowed to give up territory by the far Right.
NATO will not back down from providing military support. Russia declaring war brings in
CSTO countering NATO threats. $kap #SUR #uranium #nuclear",0
"RT @blurtsy : Here鈥檚 my prayer for #Ukraine. 
Heavenly Father, melt #Putin鈥檚 eyeballs with #Chernobyl鈥檚 radiation, and crush under avenging Angels鈥 feet the testicles of Putin鈥檚 supporters, even unto the tiny ones of #Trump and #Tucker. 
We ask this in Christ鈥檚 name. 
Amen. 1 retweet= 1 prayer",0
"RT @RegVickers : @kyleruggles @TiMoudou @B51Malmet The closer he gets the lower the share value will go.
Until, like Putin, he will have nothing to rule over but ashes.
He could buy Truth Social for the price of a Double Latte.",0
"RT @cher : Analysis: Donald Trump sides with Vladimir Putin as Joe Biden tries to stop a war - CNNPolitics 
When putin Invaded Ukraine,trump Said鈥漰utin鈥檚 GENIUS,SAVEY,HOW SMART IS HE鈥.trump tried 1 Disband NATO,Think If He Could,He鈥檇 Invade 
Countries,Like His Hero ? https://t.co/bjQrMRZdDj",1
"RT @OMGno1trump : This is the most serious thing going on in the world today. Putin is literally threatening the world with nuclear weapons. We've reached the point where he's attempting to blackmail the world into letting him kill Ukrainians or he'll go nuclear. 

https://t.co/k7S8i4V7vj",0
Death To Putin,0
"RT @MrYesWeCan : Delicious. Some $10 billion, which Putin diverted to undermine Ukraine and prepare the ground for attack - got stolen! https://t.co/QsRtMfPx9X",1
"@Capt_Navy I wish every Russian soldier on Ukraine ground returned to the motherland with feet first and cold.馃拃 And these assholes that layed mines in Ukrainas waters to drown in Black Sea! 馃が
Africa is starving, waiting for Ukrainian wheat. Putin is causing starvation! 馃槫",0
@CNN We can prepare. Biden ain鈥檛 going do nothing about it except stutter on stage and hold his hand out to shake the hand of someone who isn鈥檛 there. Greatest generation actually fought nazis - what has Biden done - shut Putin off from western media? Oh noooooo,0
